Member Id,Fuel Amount,Merch Amount,Fuel Gallons,Merch Units,Fuel Visit,Merch Visit,Fuel & Merch Visit,Cigarette Amount,Cigarette Units,Cigarette Visits,Earned Points,Burned Points,Expired Points,Age,Income,Ethincity,Gender
D13E338B-4C73-427F-B29D-5D3C6FDB0564,5046.79,29.02,2089.539,20,348,1,14,505,168.23,84,3100,3000,0,34,40596,White,Preffered Not to Say
97677196-CC71-40E1-929E-5FBDA3F35D73,675.5,277.34,341.569,85,15,14,24,68,22.52,11,1529,1275,0,19,38532,White,Female
289588F8-4A55-434F-A230-27D17BF281C0,1748.26,3279.36,784.362,870,35,123,107,175,58.28,29,2452,2200,0,58,11952,Hispanic,Male
FBC22657-3016-437D-AB52-02E372A7286C,218,3.37,85.321,3,21,0,2,22,7.27,4,241,200,0,27,14988,Hispanic,Preffered Not to Say
E60AAE91-0C0C-40B4-975F-9440071EC26F,346.6,13.34,147.069,7,11,2,1,35,11.55,6,345,300,0,21,33732,Asian,Male
35FF13D4-5CD0-4740-9F55-6D6488FE653F,1560.97,857.61,685.612,203,89,71,1,156,52.03,26,1887,1700,0,26,39036,Hispanic,Male
055B58CD-F9E1-4496-AB26-60DA139F2BC7,2482.2,27.86,1097.156,8,95,3,4,248,82.74,41,1493,1400,0,64,46704,White,Preffered Not to Say
D0A2B84C-9233-4B0E-B285-F20AC353A3C3,976.26,395.28,397.718,73,32,10,0,98,32.54,16,583,500,-83,31,44904,Black,Female
C119A3EB-2AEA-493B-BDD6-749951BBA940,1318.04,33.05,559.447,15,62,2,6,132,43.93,22,1192,0,0,55,20472,Asian,Male
F1B79B07-DA4E-409B-B532-A91D0C2206BE,285.82,0,123.11,0,14,0,0,29,9.53,5,264,200,0,45,16824,Asian,Male
C5E002D3-0B8F-4F0D-8976-DAF2348A5108,92.45,211.67,39.029,42,7,14,1,9,3.08,2,535,300,0,64,27732,Others,Preffered Not to Say
71CAA18D-5E3A-4E04-BD11-20241486A7F3,223.01,0,91.358,0,14,0,0,22,7.43,4,390,200,-90,61,47184,White,Preffered Not to Say
0E182BC5-73FF-45D1-86B9-C4BC8B2C4ABD,100.8,0,44.412,0,5,0,0,10,3.36,2,251,0,-216,34,29472,White,Preffered Not to Say
A4B4BD17-4356-47D8-8CC7-EBAC71B02860,18.77,102.91,7.76,25,1,7,3,2,0.63,0,196,0,-196,17,35748,Others,Preffered Not to Say
C5BAD169-23E1-4AF0-AD7F-8B077A371FD9,2123.52,21,949.09,4,85,1,1,212,70.78,35,2414,1800,0,24,50688,Black,Female
2866E3E7-D402-4036-8E9A-569B3CB5D87C,1218.38,25.1,539.352,15,48,1,7,122,40.61,20,1230,1075,0,56,10716,Hispanic,Preffered Not to Say
F1C2BA51-DB7F-484B-8D1D-1A57D9DCEB0F,349.42,1,145.056,1,18,0,1,35,11.65,6,508,400,-70,29,23256,Others,Male
259DEAA0-950E-45DB-A5AD-BA657C4ABF17,1102.35,133.5,421.273,37,24,3,4,110,36.75,18,759,0,0,29,33912,Black,Female
C479EAB5-3B8A-4333-A783-45252EB526E2,880.9,228.9,384.469,51,36,32,0,88,29.36,15,1398,1300,0,38,39912,Others,Preffered Not to Say
65C632B5-EC6A-4FDE-A8A9-A134757064B4,716.91,0,329.274,0,24,0,0,72,23.90,12,665,400,-220,35,52440,Hispanic,Male
0B25EBAF-05C9-40A2-8D90-C28DE6AC4AB2,1824.03,18.86,690.059,12,68,3,0,182,60.80,30,1022,1000,0,50,16320,White,Female
10347E9B-D9BC-4693-99D2-4B1C7CE3854B,939.09,264.25,425.434,80,24,21,14,94,31.30,16,1545,1600,0,65,50592,White,Female
F4108D43-728B-4BB6-8DB0-46B8302E024C,1615.66,171.98,766.352,89,60,15,36,162,53.86,27,1888,1840,0,56,46488,Black,Female
E59685E4-7B7A-4876-B414-AE90ECD9B088,716.01,27.55,290.633,17,24,3,0,72,23.87,12,619,600,0,39,50304,Asian,Male
A3AC7F8C-5267-469B-AC40-9C4831264CC9,656.55,9.8,270.988,6,20,3,0,66,21.89,11,779,700,0,35,10104,Others,Male
E1352D3D-6477-45F8-9FC8-05D01FD0E30C,1737.03,113.69,703.624,49,49,21,3,174,57.90,29,1367,1200,0,38,37716,White,Male
7CAAC219-8EAD-4E0A-B42B-A1444E5E802C,896.92,0,395.212,0,31,0,0,90,29.90,15,1241,900,0,21,23712,White,Female
BE82731F-D859-4ED4-9E32-5AE754B88968,40,363,14.779,185,2,52,0,4,1.33,1,777,0,0,27,15864,Hispanic,Female
51EE5E00-5E17-4984-BB6C-6163C1B9ED91,318.45,15.21,141.658,10,12,4,0,32,10.62,5,355,300,-55,61,16632,Asian,Female
250597EE-8DF9-4BD9-B199-4347B1FCD84B,170,38.16,68.549,9,10,2,3,17,5.67,3,276,200,0,19,11808,Hispanic,Male
2BA2F94E-041C-4F30-9ADE-86EA2F971298,1104.7,1437.98,474.28,278,77,73,0,110,36.82,18,794,700,0,48,28440,Others,Preffered Not to Say
FD20E2AF-43F7-496F-AD27-490A7B369AA4,168.53,0,71.832,0,10,0,0,17,5.62,3,619,400,0,56,35388,White,Preffered Not to Say
93914D93-9333-46F3-8FD6-33A0B6C9512F,297.28,0,125.819,0,11,0,0,30,9.91,5,329,200,-88,48,22548,Black,Male
507A85BB-9802-474C-84EA-798D88826C00,380.58,13.85,156.046,5,14,2,2,38,12.69,6,321,200,-121,53,25656,White,Preffered Not to Say
FB67A13D-A03A-4934-80F1-F60E57B2629B,1320,652.16,546.283,182,20,51,16,132,44.00,22,1662,1480,0,34,22860,White,Preffered Not to Say
65D342C8-6FDB-4ED0-B0A1-7D1D7B5EF5B6,1042.38,0,372.699,0,34,0,0,104,34.75,17,646,600,0,49,32004,Hispanic,Male
60A16D47-46D9-4487-AECD-75D9204C239E,591.26,3.98,232.388,3,17,0,3,59,19.71,10,472,400,0,39,23424,Hispanic,Male
1BE8E4E6-5121-4E9D-B0FC-C86F0B38BFCA,1075.07,1355.25,464.635,295,11,23,52,108,35.84,18,1394,1300,0,65,51696,Others,Male
CCD4A454-DFF2-4700-A276-20E6A94360F4,562.56,1094.67,239.286,208,10,38,20,56,18.75,9,1210,1100,0,52,23736,Hispanic,Male
11CBA46E-C6FE-43E9-B82F-42818CFF39D6,357.69,0,152.256,0,9,0,0,36,11.92,6,564,400,-64,23,44352,Black,Preffered Not to Say
0F356B40-FB32-463B-B745-AFFE112ED682,50,74,24.667,17,3,3,0,5,1.67,1,193,0,-193,51,21936,White,Preffered Not to Say
F533328A-D3A7-418A-A05E-A0E983C7587A,0,102.75,0,23,0,5,0,0,0.00,0,194,0,-194,46,37872,Black,Female
9BC5BD89-43AB-4762-ADBB-D41F913F4765,137.94,0,56.32,0,4,0,0,14,4.60,2,235,100,-135,16,18156,White,Female
B10F865D-451E-44E8-A7A5-EE06FD2F818D,490.48,2994.01,216.91,579,3,80,25,49,16.35,8,1698,1600,0,44,34068,Hispanic,Male
76D4FAFD-FD52-41F6-8464-7A8C150AE670,0,75.51,0,15,0,7,0,0,0.00,0,234,0,-234,57,46416,Others,Preffered Not to Say
DE635A34-6CC3-4A47-A6AF-AD803FD12F9D,0,11.47,0,7,0,2,0,0,0.00,0,185,0,-185,66,14376,Hispanic,Female
16BCF21E-8B10-40E5-85AB-06412B36C712,36.5,11.45,21.267,6,2,1,0,4,1.22,1,305,200,-30,54,53808,Hispanic,Female
C6765026-799E-49DD-95E6-FECBF098A869,0,2.38,0,2,0,1,0,0,0.00,0,209,0,-209,39,49932,Black,Preffered Not to Say
A1C10414-F6FB-4FB0-80E6-DF6304B1C6DB,874.28,1930.39,372.439,457,38,109,0,87,29.14,15,1913,1400,0,68,32496,Asian,Male
2A626A91-0767-4750-9A81-9B4529C891A1,3443.6,910.31,1239.132,271,58,137,37,344,114.79,57,3615,3400,0,17,31848,Black,Female
